GeoId,Region,CountryName,Continent
1,mecklenburg-vorpommern,Germany,Europe
2,south-east usa,United States,America
3,connaught,Ireland,Europe
4,north italy,Italy,Europe
5,bavaria,Germany,Europe
6,brandenburg,Germany,Europe
7,northern island-northern,New Zealand,Oceania
8,lower saxony,Germany,Europe
9,north west usa,United States,America
10,castilla,Spain,Europe
11,north west england,United Kingdom,Europe
12,munster,Ireland,Europe
13,north east england,United Kingdom,Europe
14,saxony,Germany,Europe
15,vascongadas,Spain,Europe
16,north west france,France,Europe
17,andalucia,Spain,Europe
18,south island-southern,New Zealand,Oceania
19,leinster,Ireland,Europe
20,atlantic provinces,Canada,America
21,berlin,Germany,Europe
22,north rhine-westphalla,Germany,Europe
23,hamburg,Germany,Europe
24,center italy,Italy,Europe
25,galicia,Spain,Europe
26,aragon,Spain,Europe
27,ulster,Ireland,Europe
28,upland france,France,Europe
29,asturleon,Spain,Europe
30,schleswig-holstein,Germany,Europe
31,quebec,Canada,America
32,south west england,United Kingdom,Europe
33,scotland,United Kingdom,Europe
34,london,United Kingdom,Europe
35,wales,United Kingdom,Europe
36,wallonia,Belgium,Europe
37,tasmania,Australia,Oceania
38,british columbia,Canada,America
39,east midlands,United Kingdom,Europe
40,south italy,Italy,Europe
41,rhineland-palatinate,Germany,Europe
42,mid-west usa,United States,America
43,saxony-anhalt,Germany,Europe
44,baden-wuttemberg,Germany,Europe
45,victoria,Australia,Oceania
46,south west usa,United States,America
47,mid-atalntic,United States,America
48,north east france,France,Europe
49,bremen,Germany,Europe
50,north island-central east,New Zealand,Oceania
51,saarland,Germany,Europe
52,west midlands,United Kingdom,Europe
53,hessen,Germany,Europe
54,heart of france,France,Europe
55,ontario,Canada,America
56,queensland,Australia,Oceania
57,flanders,Belgium,Europe
58,east england,United Kingdom,Europe
59,new south wales,Australia,Oceania
60,the north,Canada,America
61,south australia,Australia,Oceania
62,yorkshire,United Kingdom,Europe
63,western australia,Australia,Oceania
64,south east england,United Kingdom,Europe
65,northern territory,Australia,Oceania
66,brussels,Belgium,Europe
67,north-east usa,United States,America
68,le midi france,France,Europe
69,thuringia,Germany,Europe
70,prairie provinces,Canada,America
71,west usa,United States,America
72,south island-central,New Zealand,Oceania
73,south island northern,New Zealand,Oceania
74,southwest france,France,Europe
75,north island-central west,New Zealand,Oceania
76,north island-southern,New Zealand,Oceania
