SubjectId,Description
1,Maths|NULL|0 - Data and Statistics|3|1 - Scatter Diagram|342|3 - Data Representation|101|2 
2,Maths|NULL|0 - Geometry and Measure|3|1 - 2D Pythagoras|271|3 - Pythagoras|71|2 
3,Maths|NULL|0 - Geometry and Measure|3|1 - Angles|71|2 - Angles in Triangles|74|3 
4,Maths|NULL|0 - Geometry and Measure|3|1 - Circles|71|2 - Circumference|77|3 
5,"Maths|NULL|0 - Geometry and Measure|3|1 - Angles|71|2 - Basic Angle Facts (straight line, opposite, around a point, etc)|74|3 "
6,Maths|NULL|0 - Algebra|3|1 - Substitution into Formula|156|3 - Formula|49|2 
7,Maths|NULL|0 - Number|3|1 - Rounding and Estimating|32|2 - Rounding to Decimal Places|141|3 
8,Maths|NULL|0 - Algebra|3|1 - Writing and Simplifying Expressions|49|2 - Writing Expressions|62|3 
9,Maths|NULL|0 - Geometry and Measure|3|1 - Circles|71|2 - Parts of a Circle|77|3 
10,Maths|NULL|0 - Algebra|3|1 - Writing and Simplifying Expressions|49|2 - Simplifying Expressions by Collecting Like Terms|62|3 
11,Maths|NULL|0 - Data and Statistics|3|1 - Box Plots|342|3 - Data Representation|101|2 
12,Maths|NULL|0 - Number|3|1 - Upper and Lower Bounds|141|3 - Rounding and Estimating|32|2 
13,Maths|NULL|0 - Algebra|3|1 - Expanding Double Brackets|152|3 - Expanding Brackets|49|2 
14,Maths|NULL|0 - Algebra|3|1 - Factorising into a Single Bracket|153|3 - Factorising|49|2 
15,Maths|NULL|0 - Algebra|3|1 - Writing and Simplifying Expressions|49|2 - Multiplying Terms|62|3 - Dividing Terms|62|3 
16,Maths|NULL|0 - Geometry and Measure|3|1 - Circles|71|2 - Area of a Circle|77|3 
17,Maths|NULL|0 - Algebra|3|1 - Writing and Simplifying Expressions|49|2 - Dividing Terms|62|3 
18,Maths|NULL|0 - Algebra|3|1 - Writing and Simplifying Expressions|49|2 - Writing Expressions|62|3 - Multiplying Terms|62|3 
19,Maths|NULL|0 - Number|3|1 - Rounding and Estimating|32|2 - Rounding to Significant Figures|141|3 
20,Maths|NULL|0 - Data and Statistics|3|1 - Data Collection|101|2 - Types of Data and Questionnaires|113|3 
21,"Maths|NULL|0 - Geometry and Measure|3|1 - Angles|71|2 - Basic Angle Facts (straight line, opposite, around a point, etc)|74|3 - Angles in Triangles|74|3 "
