Year,UserId,TotAnswers
2019,54492,709
2019,86016,637
2019,105010,566
2020,65829,555
2019,90547,555
2019,61954,531
2019,84532,528
2019,17665,508
2020,65748,499
2019,70122,495
2019,3213,494
2019,112237,494
2019,109348,494
2019,24738,488
2019,99333,483
2019,61809,479
2019,47418,478
2019,44529,463
2019,10011,461
2019,80303,454
2019,113372,454
2019,8591,447
2019,72467,439
2019,38416,436
2019,39367,436
2019,18052,427
2019,117110,426
2019,73967,421
2019,68380,418
2020,58666,415
2020,77990,415
2019,77990,411
2020,55828,406
2019,11716,406
2019,90348,400
2020,72261,399
2020,94417,398
2019,117582,396
2019,51463,394
2019,103260,393
2020,16172,388
2019,84695,387
2020,67433,385
2019,77910,383
2019,113427,380
2019,70698,380
2019,46079,378
2019,12620,377
2019,100183,375
2019,5760,375
2019,57713,374
2019,78443,369
2019,56281,367
2020,116904,367
2019,4314,367
2019,93909,366
2019,90617,366
2019,2654,359
2019,113467,353
2019,10520,348
2019,101026,346
2019,52103,346
2019,50635,345
2019,89702,338
2019,62089,338
2019,26586,335
2019,34398,330
2019,74282,329
2019,98925,328
2019,34400,327
2019,67433,327
2019,55211,326
2019,279,326
2019,42932,323
2019,19204,321
2019,75390,320
2019,100849,319
2019,106925,319
2019,75684,319
2019,31491,317
2019,94417,317
2019,31994,316
2019,28548,314
2019,46657,314
2019,88212,310
2019,72805,309
2020,99333,308
2020,111558,307
2019,14074,306
2019,107293,306
2019,23352,302
2019,53200,302
2020,48174,301
2019,59935,299
2019,50489,299
2019,111558,298
2020,72434,296
2020,62089,293
2019,107251,293
2019,113348,291
2019,118256,290
2020,98925,290
2019,42985,290
2020,24600,290
2019,65709,289
2020,9658,287
2019,73088,287
2019,80689,287
2019,78731,286
2019,47887,285
2019,13132,283
2019,101868,281
2019,97059,281
2019,104683,280
2019,90505,280
2019,85534,280
2019,35769,279
2019,25796,279
2019,48174,279
2019,61078,277
2019,91322,277
2019,94896,277
2019,7592,276
2019,95357,276
2019,7741,275
2019,112287,275
2019,21119,275
2020,15383,273
2019,31242,273
2020,42932,272
2020,49819,272
2019,109993,270
2020,17665,270
2019,35530,270
2019,101341,269
2019,35819,269
2019,73478,269
2019,33504,269
2019,73242,269
2019,37084,268
2019,108493,268
2019,10400,268
2020,82713,267
2019,22140,267
2020,15129,267
2019,35460,267
2020,52103,267
2019,39413,267
2020,118232,266
2019,54600,266
2019,55828,265
2019,90183,264
2020,6682,264
2019,48443,264
2019,15129,264
2019,100947,263
2020,11756,263
2019,12488,263
2019,88144,262
2019,37475,262
2020,95357,262
2020,52730,262
2019,101020,261
2019,1989,261
2020,13748,260
2020,104608,259
2020,34398,259
2019,18053,259
2019,9658,258
2020,117045,257
2019,43974,256
2020,84287,256
2019,11359,256
2019,41418,256
2020,71208,255
2019,39020,255
2019,36586,255
2019,49472,255
2020,25492,255
2019,50674,254
2019,81055,253
2019,55801,253
2019,88073,253
2019,104163,253
2020,47102,251
2019,116146,251
2020,16666,251
2019,92701,251
2020,39559,250
2019,83848,250
2019,58289,250
2019,112163,250
2020,21067,250
2019,20863,250
2019,11756,250
2019,91362,249
2019,48258,249
2019,92512,248
2019,33589,248
2019,81551,247
2019,112045,247
2020,5800,246
2019,81957,246
2019,106277,246
2020,57491,245
2019,107196,245
2019,51620,245
2019,4136,244
2020,40336,244
2020,61954,243
2019,1229,243
2019,90438,243
2019,8344,243
2019,35752,243
2019,118915,242
2019,36885,242
2019,74428,242
2020,11359,241
2020,86016,241
2019,33952,241
2019,60078,240
2019,35898,240
2020,31491,240
2019,101581,239
2020,23352,239
2019,50576,238
2019,14322,238
2020,109993,237
2019,79098,237
2020,14074,236
2019,61460,236
2019,18981,236
2019,61657,235
2019,113435,235
2019,96993,235
2020,106490,235
2019,25588,234
2019,72972,234
2019,1820,234
2019,83223,234
2019,29615,234
2020,60069,233
2019,3684,233
2020,48953,233
2019,53364,233
2020,20807,233
2019,927,232
2019,63066,231
2019,11930,231
2019,118965,230
2020,113820,230
2019,60296,230
2019,90418,230
2020,108049,230
2020,39730,229
2020,62959,229
2019,24697,229
2019,108343,229
2020,89313,229
2019,15120,228
2019,99640,228
2019,21412,228
2020,87652,227
2019,87247,226
2019,97528,226
2019,79189,226
2019,44334,225
2019,80295,224
2019,44651,224
2020,102018,224
2020,4891,224
2019,96080,224
2020,74117,224
2019,98202,223
2019,6183,222
2020,98914,222
2020,15396,222
2019,91765,222
2019,8781,222
2020,67044,222
2019,39088,222
2020,75175,221
2019,257,221
2019,63054,221
2019,109537,221
2019,74652,221
2019,24031,220
2019,102729,220
2019,31413,220
2020,101026,220
2020,76141,220
2019,81252,220
2019,67797,220
2019,67949,220
2019,51816,219
2020,44724,219
2019,19626,219
2019,61163,218
2019,16313,218
2019,52351,218
2019,45800,218
2020,24244,218
2019,107842,217
2019,20057,217
2019,62311,217
2019,51768,217
2019,79884,217
2019,89856,217
2019,16722,216
2019,71252,216
2019,57301,216
2019,62576,216
2019,14017,216
2019,68185,215
2019,10401,215
2019,67706,215
2019,55310,215
2020,97528,215
2020,8025,214
2020,85945,214
2019,10450,214
2019,74018,214
2019,26951,213
2019,61112,213
2019,38513,213
2020,41418,213
2019,43019,213
2019,16579,213
2019,43113,213
2019,10980,213
2020,74303,212
2019,71788,212
2020,92183,212
2019,32153,211
2020,61163,211
2019,24380,211
2020,93302,211
2019,41994,211
2019,40862,211
2019,3118,211
2019,89751,210
2020,37286,210
2019,81199,210
2019,24244,210
2020,81257,209
2020,1345,209
2019,109414,209
2020,36714,208
2019,63822,208
2019,58506,208
2019,64759,208
2019,82414,208
2020,107816,208
2019,45711,207
2019,72884,207
2019,18982,207
2019,82713,207
2019,49690,207
2019,16185,207
2020,93336,206
2019,41398,206
2019,92560,206
2019,13619,206
2019,93620,206
2019,53611,206
2019,58666,206
2019,6859,206
2019,107038,206
2019,47837,206
2020,86949,206
2020,9356,206
2019,104222,206
2019,32036,205
2019,85160,205
2020,38416,205
2020,95570,205
2019,17122,205
2019,66003,205
2019,16713,205
2019,17783,205
2019,15435,205
2019,25267,205
2019,8383,205
2020,67949,204
2019,37423,204
2019,58689,204
2020,53200,204
2019,108590,204
2019,12667,204
2019,74172,204
2019,46596,204
2019,107453,204
2019,118600,203
2019,73655,203
2019,16937,203
2019,81070,203
2019,21917,202
2020,59072,202
2020,53920,202
2019,84106,202
2019,18786,202
2019,99430,202
2019,11955,202
2019,107745,201
2019,31426,201
2019,75175,201
2019,56509,201
2019,19811,201
2019,28911,201
2020,64310,200
2019,22098,200
2019,65896,200
2020,54416,200
2019,69986,200
