SubjectId,CC_Index
1,197.70
2,98.35
3,161.64
4,104.81
5,91.60
6,107.74
7,121.26
8,82.42
9,337.76
10,93.66
11,88.02
12,57.99
13,65.49
14,94.00
15,60.47
16,137.24
17,48.91
18,125.22
19,117.14
20,87.46
21,143.93
22,72.62
23,67.70
24,175.46
25,356.91
26,139.00
27,259.73
28,97.81
29,161.17
30,278.53
31,323.59
32,198.34
33,172.25
34,99.48
35,114.93
36,65.01
37,172.90
38,120.28
39,167.38
40,131.34
41,134.76
42,70.14
43,29.31
44,161.28
45,100.45
46,144.15
47,19.71
48,105.33
49,268.53
50,128.82
51,168.14
52,76.48
53,171.75
54,55.68
55,50.85
56,98.59
57,201.13
58,151.43
59,266.52
60,144.95
61,126.54
62,109.14
63,116.81
64,174.89
65,80.56
66,123.83
67,86.01
68,83.09
69,132.43
70,191.95
71,113.85
72,52.06
73,85.79
74,111.33
75,45.05
76,111.18
77,67.78
78,124.92
79,113.79
80,206.07
81,138.50
82,184.80
83,143.72
84,140.87
85,40.06
86,91.92
87,105.21
88,93.36
89,17.15
90,135.65
91,156.48
92,68.81
93,302.88
94,31.70
95,119.76
96,184.14
97,159.88
98,40.24
99,104.45
100,211.94
101,91.20
102,266.23
103,64.82
104,105.27
105,132.68
106,209.48
107,82.22
108,76.51
109,116.13
110,118.79
111,88.14
112,116.71
113,111.90
114,239.55
115,340.25
116,163.65
117,31.01
118,276.35
119,137.51
120,164.73
121,168.19
122,201.71
123,207.34
124,238.46
125,212.92
126,67.45
127,99.57
128,248.34
129,63.70
130,82.76
131,385.23
132,238.00
133,85.50
134,60.27
135,26.44
136,105.17
137,22.18
138,90.50
139,186.03
140,63.54
141,78.98
142,92.84
143,49.42
144,230.51
145,49.17
146,80.80
147,34.35
148,130.98
149,47.97
150,77.86
151,155.15
152,235.10
153,91.76
154,60.47
155,207.68
156,115.97
157,410.77
158,119.72
159,51.82
160,197.38
161,32.31
162,82.35
163,196.78
164,67.73
165,46.39
166,40.03
167,79.32
168,38.28
169,52.70
170,171.67
171,532.43
172,141.75
173,185.49
174,122.83
175,95.11
176,64.49
177,69.06
178,117.19
179,47.72
180,60.01
181,120.34
182,108.03
183,39.41
184,82.43
185,129.87
186,33.22
187,79.22
188,214.64
189,461.45
190,16.62
191,72.24
192,124.32
193,225.02
194,975.00
195,112.30
196,198.97
197,217.10
198,222.52
199,56.32
200,57.26
201,165.08
202,109.26
203,175.85
204,89.25
205,210.18
206,137.89
207,110.25
208,109.83
209,23.67
210,48.06
211,214.27
212,123.61
213,304.98
214,191.01
215,253.09
216,357.14
217,131.87
218,143.61
219,154.54
220,235.12
221,62.08
222,48.11
223,191.22
224,79.19
225,68.88
226,54.51
227,194.34
228,68.72
229,237.39
230,38.80
231,64.17
232,146.18
233,77.51
234,111.96
235,80.90
236,62.14
237,64.54
238,80.26
239,311.65
240,91.80
241,169.10
242,102.37
243,125.28
244,113.33
245,46.62
246,449.76
247,392.41
248,62.55
249,107.78
250,79.52
251,49.08
252,26.01
253,18.69
254,72.06
255,43.56
256,64.02
257,94.93
258,66.96
259,56.89
260,45.05
261,5.20
262,172.12
263,70.21
264,194.22
265,27.50
266,20.35
267,94.93
268,42.96
269,88.24
270,56.46
271,105.23
272,115.11
273,79.44
274,137.63
275,11.25
276,209.90
277,28.75
278,53.45
279,31.99
280,123.21
281,70.10
282,50.51
283,23.18
284,24.76
285,10.90
286,41.66
287,56.71
288,68.42
289,210.81
290,36.83
291,14.66
292,100.00
293,39.38
294,986.57
295,43.48
296,297.91
297,15.38
298,49.74
299,287.68
300,885.50
301,32.01
302,64.62
303,70.83
304,90.46
305,70.43
306,1260.93
307,216.91
308,237.89
309,7.81
310,780.16
311,74.65
312,88.52
313,60.34
314,47.46
315,105.04
316,550.79
317,38.46
318,27.16
319,13.47
320,142.78
321,40.98
322,128.18
323,66.26
324,29.16
325,29.58
326,49.88
327,57.67
328,82.74
329,12.91
330,42.66
331,30.83
332,61.65
333,92.11
334,24.96
335,42.37
336,65.54
337,64.73
338,33.76
339,142.97
340,61.50
341,148.43
342,16.18
343,96.36
344,55.20
345,90.46
346,335.46
347,201.05
348,56.30
349,118.48
350,254.36
351,28.70
352,119.53
353,59.21
354,549.78
355,168.15
356,73.63
357,35.24
358,73.88
359,100.65
360,200.53
361,43.43
362,64.19
363,37.65
364,61.43
365,1170.57
366,68.71
367,91.87
368,91.09
369,58.75
370,58.25
371,109.96
372,83.32
373,31.46
374,75.72
375,43.79
376,92.40
377,73.08
378,238.14
379,28.13
380,17.66
381,28.16
382,13.23
383,61.66
384,11.76
385,84.62
386,47.71
387,472.39
388,50.00
389,303.44
390,86.80
391,62.99
392,46.94
394,34.28
395,40.89
396,939.51
397,120.00
398,83.32
399,.00
400,175.00
401,7.14
403,262.50
404,.00
405,10.00
406,156.19
407,49.24
408,225.00
412,50.00
